Budget (in dollars),Age,Gender,Education_Level,With children?,Recommended_Activity
60.0,20.0,NA,Other,NA,Play: Visit a movie theater
72.0,21.0,Other,Did Not Graduate HS,0,Play: Visit a movie theater
1380.0,56.0,NA,Bachelor’s Degree,NA,Explore: Hike
3869.0,30.0,Female,Bachelor’s Degree,1,Stay in: Color
61.0,23.0,Other,High School Grad,NA,Play: Visit a movie theater
2031.0,37.0,NA,Master’s Degree,1,Explore: Go sightseeing
232.0,19.0,Non-binary,Did Not Graduate HS,NA,Play: Go shopping
149.0,21.0,Male,High School Grad,0,Play: Go shopping
261.0,21.0,Other,High School Grad,NA,Play: Go shopping
4120.0,48.0,Female,Master’s Degree,1,Explore: Hike
234.0,19.0,Male,Did Not Graduate HS,1,Play: Go shopping
83.0,18.0,Transgender,NA,NA,Play: Go shopping
1857.0,74.0,NA,Bachelor’s Degree,1,Explore: Visit a park
4802.0,35.0,Non-binary,Master’s Degree,0,Explore: Hike
1622.0,54.0,NA,Master’s Degree,1,Explore: Hike
3684.0,25.0,Non-binary,Bachelor’s Degree,NA,Stay in: Watch calming TV
1355.0,36.0,NA,Master’s Degree,0,Explore: Visit a park
109.0,20.0,Male,NA,1,Play: Visit a movie theater
470.0,42.0,Female,Master’s Degree,1,Stay in: Color
532.0,35.0,NA,Bachelor’s Degree,0,Explore: Go sightseeing
61.0,21.0,Transgender,NA,NA,Play: Visit a movie theater
273.0,23.0,Transgender,High School Grad,0,Play: Go shopping
2071.0,26.0,NA,Master’s Degree,0,Stay in: Watch calming TV
4359.0,71.0,Transgender,Bachelor’s Degree,1,Explore: Visit a park
292.0,23.0,Transgender,Other,0,Play: Go shopping
392.0,35.0,Male,Master’s Degree,1,Stay in: Color
1141.0,36.0,Other,Master’s Degree,0,Learn: Visit a library
171.0,22.0,Other,NA,NA,Play: Visit a movie theater
3397.0,41.0,NA,Bachelor’s Degree,0,Explore: Hike
3814.0,82.0,Male,Bachelor’s Degree,0,Learn: Visit a library
240.0,18.0,Other,High School Grad,1,Play: Go shopping
3224.0,69.0,Other,Master’s Degree,1,Explore: Go sightseeing
137.0,19.0,Transgender,Other,NA,Play: Visit a movie theater
192.0,21.0,NA,NA,NA,Play: Visit a movie theater
3191.0,50.0,Female,Master’s Degree,1,Play: Visit a movie theater
1638.0,50.0,NA,Bachelor’s Degree,NA,Explore: Go sightseeing
3407.0,87.0,Male,Bachelor’s Degree,NA,Explore: Hike
61.0,19.0,Non-binary,Did Not Graduate HS,1,Play: Visit a movie theater
3152.0,37.0,Other,Master’s Degree,0,Explore: Hike
4957.0,26.0,Male,Master’s Degree,0,Play: Go shopping
4053.0,70.0,Transgender,Master’s Degree,1,Explore: Go sightseeing
389.0,29.0,Transgender,Bachelor’s Degree,1,Stay in: Play a game
278.0,21.0,Male,NA,1,Play: Go shopping
71.0,19.0,NA,Did Not Graduate HS,1,Play: Visit a movie theater
65.0,18.0,Male,NA,NA,Play: Visit a movie theater
1937.0,39.0,Male,Bachelor’s Degree,0,Play: Go shopping
1706.0,49.0,Other,Bachelor’s Degree,1,Explore: Hike
135.0,30.0,Transgender,NA,NA,Stay in: Color
86.0,18.0,Non-binary,Did Not Graduate HS,1,Play: Go shopping
219.0,19.0,Other,Did Not Graduate HS,NA,Play: Go shopping
194.0,22.0,Other,Did Not Graduate HS,0,Play: Go shopping
1868.0,56.0,Other,Bachelor’s Degree,NA,Explore: Hike
23.0,18.0,Non-binary,Other,0,Play: Visit a movie theater
4375.0,69.0,Female,Master’s Degree,1,Stay in: Watch calming TV
213.0,22.0,NA,High School Grad,NA,Play: Go shopping
814.0,89.0,NA,Bachelor’s Degree,1,Play: Visit a movie theater
15.0,21.0,NA,Did Not Graduate HS,NA,Play: Visit a movie theater
4040.0,33.0,NA,Master’s Degree,1,Stay in: Color
1148.0,55.0,NA,Bachelor’s Degree,1,Explore: Hike
3843.0,32.0,Female,Master’s Degree,1,Learn: Visit a library
789.0,27.0,Non-binary,Master’s Degree,0,Explore: Hike
81.0,19.0,NA,NA,0,Play: Visit a movie theater
100.0,23.0,NA,Did Not Graduate HS,NA,Play: Go shopping
2331.0,57.0,Other,Bachelor’s Degree,0,Play: Go shopping
1935.0,41.0,Other,Master’s Degree,0,Stay in: Color
238.0,22.0,Male,Other,1,Play: Visit a movie theater
36.0,21.0,Transgender,NA,1,Play: Visit a movie theater
185.0,22.0,NA,High School Grad,0,Play: Go shopping
1905.0,37.0,Other,Master’s Degree,1,Stay in: Color
3046.0,62.0,NA,Bachelor’s Degree,NA,Play: Go shopping
4601.0,25.0,Transgender,Master’s Degree,1,Explore: Go sightseeing
3201.0,39.0,Transgender,Bachelor’s Degree,0,Explore: Hike
440.0,32.0,Non-binary,Bachelor’s Degree,NA,Stay in: Color
57.0,23.0,Transgender,High School Grad,NA,Play: Visit a movie theater
291.0,18.0,Non-binary,NA,1,Play: Visit a movie theater
1830.0,30.0,NA,Master’s Degree,0,Learn: Visit a library
2009.0,34.0,Non-binary,Master’s Degree,NA,Play: Go shopping
767.0,75.0,Female,Master’s Degree,1,Stay in: Play a game
2431.0,41.0,NA,Master’s Degree,NA,Stay in: Watch calming TV
67.0,20.0,Transgender,High School Grad,1,Play: Visit a movie theater
1441.0,40.0,Non-binary,Master’s Degree,0,Explore: Go sightseeing
1551.0,36.0,Male,Bachelor’s Degree,0,Explore: Go sightseeing
278.0,30.0,Non-binary,High School Grad,1,Stay in: Color
14.0,21.0,Female,NA,1,Play: Visit a movie theater
39.0,18.0,Non-binary,Other,1,Play: Go shopping
181.0,21.0,Female,Other,1,Play: Go shopping
4530.0,35.0,Female,Master’s Degree,1,Stay in: Watch calming TV
15.0,21.0,Other,NA,0,Play: Visit a movie theater
1247.0,77.0,Non-binary,Master’s Degree,1,Stay in: Color
1866.0,30.0,Male,Bachelor’s Degree,0,Learn: Visit a library
43.0,49.0,Other,Did Not Graduate HS,NA,Stay in: Color
2929.0,72.0,Non-binary,Bachelor’s Degree,NA,Stay in: Color
459.0,39.0,Non-binary,Bachelor’s Degree,1,Stay in: Color
927.0,28.0,Non-binary,Bachelor’s Degree,1,Explore: Visit a park
3050.0,36.0,Non-binary,Bachelor’s Degree,1,Stay in: Play a game
2025.0,29.0,Male,Bachelor’s Degree,0,Explore: Visit a park
4.0,18.0,NA,High School Grad,1,Play: Visit a movie theater
962.0,49.0,Male,Bachelor’s Degree,0,Learn: Visit a library
248.0,20.0,Non-binary,Other,1,Play: Go shopping
26.0,23.0,Female,NA,1,Play: Go shopping
225.0,19.0,Other,Did Not Graduate HS,NA,Play: Go shopping
172.0,23.0,Transgender,High School Grad,1,Play: Go shopping
229.0,18.0,Non-binary,High School Grad,NA,Play: Visit a movie theater
185.0,23.0,Female,Did Not Graduate HS,1,Play: Go shopping
2473.0,60.0,Transgender,Master’s Degree,1,Stay in: Play a game
4391.0,32.0,NA,Bachelor’s Degree,NA,Stay in: Color
2383.0,38.0,Male,Bachelor’s Degree,0,Explore: Visit a park
2410.0,35.0,Non-binary,Bachelor’s Degree,1,Stay in: Play a game
2095.0,62.0,Male,Bachelor’s Degree,1,Stay in: Watch calming TV
4.0,21.0,Other,Other,0,Play: Go shopping
216.0,20.0,Non-binary,NA,1,Play: Go shopping
156.0,18.0,Other,NA,0,Play: Visit a movie theater
3742.0,38.0,Non-binary,Bachelor’s Degree,0,Stay in: Watch calming TV
1314.0,31.0,Female,Bachelor’s Degree,1,Play: Go shopping
296.0,21.0,Female,High School Grad,1,Play: Go shopping
96.0,18.0,Non-binary,Other,1,Play: Visit a movie theater
3740.0,25.0,Other,Master’s Degree,NA,Stay in: Watch calming TV
122.0,18.0,Female,NA,1,Play: Visit a movie theater
260.0,63.0,Non-binary,Other,1,Learn: Visit a library
310.0,42.0,NA,Bachelor’s Degree,1,Learn: Visit a library
1729.0,25.0,NA,Bachelor’s Degree,1,Explore: Hike
42.0,23.0,Female,Other,1,Play: Visit a movie theater
49.0,19.0,NA,Other,0,Play: Visit a movie theater
45.0,19.0,Other,Other,0,Play: Go shopping
17.0,19.0,Transgender,NA,NA,Play: Go shopping
2490.0,32.0,Non-binary,Bachelor’s Degree,0,Stay in: Play a game
162.0,22.0,Male,Other,1,Play: Go shopping
184.0,22.0,Male,High School Grad,0,Play: Go shopping
17.0,23.0,Other,High School Grad,NA,Play: Go shopping
101.0,19.0,Transgender,NA,1,Play: Go shopping
113.0,21.0,Male,Did Not Graduate HS,1,Play: Visit a movie theater
44.0,22.0,Non-binary,Other,NA,Play: Visit a movie theater
213.0,19.0,Transgender,Other,NA,Play: Go shopping
162.0,22.0,Female,Other,1,Play: Visit a movie theater
223.0,19.0,Other,Did Not Graduate HS,0,Play: Go shopping
143.0,19.0,Female,Did Not Graduate HS,1,Play: Go shopping
77.0,19.0,Male,NA,NA,Play: Visit a movie theater
47.0,20.0,Male,Did Not Graduate HS,NA,Play: Go shopping
59.0,23.0,NA,Did Not Graduate HS,NA,Play: Visit a movie theater
267.0,23.0,Male,Other,NA,Play: Visit a movie theater
848.0,40.0,Non-binary,Bachelor’s Degree,0,Stay in: Play a game
3402.0,30.0,NA,Bachelor’s Degree,NA,Stay in: Color
2273.0,33.0,Male,Master’s Degree,NA,Play: Go shopping
164.0,18.0,Transgender,Other,1,Play: Go shopping
257.0,20.0,Non-binary,Other,NA,Play: Go shopping
295.0,18.0,Transgender,Other,0,Play: Visit a movie theater
56.0,22.0,Female,High School Grad,1,Play: Go shopping
2118.0,62.0,Transgender,Master’s Degree,1,Explore: Hike
1867.0,55.0,Non-binary,Bachelor’s Degree,0,Explore: Visit a park
234.0,22.0,Female,High School Grad,1,Play: Go shopping
47.0,23.0,Other,NA,0,Play: Go shopping
958.0,28.0,Female,Bachelor’s Degree,1,Play: Go shopping
127.0,19.0,Female,NA,1,Play: Visit a movie theater
3428.0,47.0,Non-binary,Master’s Degree,NA,Play: Go shopping
100.0,22.0,NA,High School Grad,1,Play: Go shopping
250.0,21.0,Male,Did Not Graduate HS,NA,Play: Visit a movie theater
1993.0,67.0,Male,Master’s Degree,NA,Explore: Hike
471.0,25.0,NA,Bachelor’s Degree,1,Stay in: Color
3587.0,38.0,Female,Master’s Degree,1,Explore: Hike
74.0,21.0,Female,Other,1,Play: Visit a movie theater
47.0,23.0,Non-binary,High School Grad,NA,Play: Go shopping
70.0,21.0,NA,NA,1,Play: Go shopping
93.0,20.0,Other,Other,1,Play: Go shopping
3811.0,47.0,Female,Bachelor’s Degree,1,Stay in: Watch calming TV
44.0,18.0,Other,High School Grad,1,Play: Go shopping
135.0,23.0,Non-binary,Did Not Graduate HS,NA,Play: Go shopping
192.0,20.0,Male,High School Grad,0,Play: Go shopping
4442.0,33.0,Female,Bachelor’s Degree,1,Stay in: Watch calming TV
85.0,19.0,Non-binary,Did Not Graduate HS,1,Play: Visit a movie theater
120.0,52.0,NA,Other,NA,Learn: Visit a library
165.0,19.0,Male,Did Not Graduate HS,NA,Play: Go shopping
59.0,22.0,Non-binary,High School Grad,NA,Play: Go shopping
66.0,20.0,Transgender,Other,0,Play: Visit a movie theater
10.0,18.0,Female,Did Not Graduate HS,1,Play: Go shopping
735.0,47.0,Female,Master’s Degree,1,Explore: Go sightseeing
60.0,20.0,Female,High School Grad,1,Play: Go shopping
3591.0,42.0,NA,Master’s Degree,0,Learn: Visit a library
273.0,21.0,Transgender,NA,1,Play: Visit a movie theater
2929.0,77.0,Female,Bachelor’s Degree,1,Play: Go shopping
2033.0,30.0,Non-binary,Master’s Degree,1,Learn: Visit a library
204.0,21.0,Female,Other,1,Play: Go shopping
4141.0,31.0,Female,Master’s Degree,1,Explore: Go sightseeing
4152.0,58.0,Other,Master’s Degree,NA,Explore: Hike
1825.0,72.0,Other,Master’s Degree,NA,Explore: Visit a park
160.0,18.0,NA,NA,0,Play: Go shopping
1721.0,39.0,Non-binary,Bachelor’s Degree,1,Play: Go shopping
95.0,20.0,NA,High School Grad,0,Play: Visit a movie theater
1372.0,28.0,Transgender,Bachelor’s Degree,0,Learn: Visit a library
65.0,23.0,Male,Did Not Graduate HS,1,Play: Go shopping
67.0,40.0,Transgender,Bachelor’s Degree,NA,Play: Go shopping
1627.0,38.0,NA,Master’s Degree,0,Stay in: Color
70.0,23.0,Transgender,NA,NA,Play: Visit a movie theater
6.0,21.0,NA,Did Not Graduate HS,NA,Play: Go shopping
2425.0,38.0,Other,Bachelor’s Degree,1,Stay in: Play a game
80.0,23.0,Other,Did Not Graduate HS,NA,Play: Go shopping
285.0,22.0,Other,NA,1,Play: Go shopping
3965.0,35.0,Female,Bachelor’s Degree,1,Stay in: Color
4842.0,85.0,Non-binary,Master’s Degree,0,Explore: Go sightseeing
494.0,64.0,Transgender,Bachelor’s Degree,NA,Stay in: Play a game
627.0,41.0,Transgender,Bachelor’s Degree,0,Play: Go shopping
208.0,20.0,Female,Other,1,Play: Visit a movie theater
39.0,21.0,Non-binary,Other,NA,Play: Go shopping
76.0,18.0,Male,High School Grad,1,Play: Visit a movie theater
71.0,19.0,NA,High School Grad,NA,Play: Visit a movie theater
238.0,21.0,Other,Other,1,Play: Visit a movie theater
3390.0,52.0,Transgender,Master’s Degree,NA,Stay in: Play a game
220.0,18.0,Other,NA,NA,Play: Go shopping
284.0,18.0,Other,Did Not Graduate HS,0,Play: Visit a movie theater
3391.0,29.0,Transgender,Master’s Degree,NA,Play: Visit a movie theater
1435.0,42.0,Female,Master’s Degree,1,Stay in: Watch calming TV
204.0,22.0,Other,High School Grad,1,Play: Visit a movie theater
226.0,19.0,Non-binary,High School Grad,1,Play: Visit a movie theater
670.0,27.0,Non-binary,Master’s Degree,1,Play: Visit a movie theater
3548.0,75.0,Transgender,Bachelor’s Degree,0,Stay in: Color
2526.0,45.0,NA,Bachelor’s Degree,0,Play: Go shopping
59.0,22.0,Other,High School Grad,1,Play: Go shopping
270.0,38.0,Female,Did Not Graduate HS,1,Stay in: Watch calming TV
3454.0,25.0,Non-binary,Bachelor’s Degree,0,Play: Visit a movie theater
4585.0,48.0,Transgender,Master’s Degree,1,Explore: Visit a park
1419.0,31.0,Other,Master’s Degree,NA,Stay in: Color
3631.0,46.0,NA,Master’s Degree,1,Explore: Go sightseeing
32.0,20.0,Male,Did Not Graduate HS,NA,Play: Go shopping
50.0,18.0,NA,Did Not Graduate HS,NA,Play: Go shopping
119.0,21.0,Other,NA,0,Play: Visit a movie theater
2670.0,42.0,Non-binary,Bachelor’s Degree,1,Play: Visit a movie theater
3792.0,54.0,Transgender,Bachelor’s Degree,0,Explore: Go sightseeing
3746.0,30.0,Male,Master’s Degree,0,Play: Visit a movie theater
122.0,18.0,Other,High School Grad,NA,Play: Go shopping
213.0,21.0,Transgender,Did Not Graduate HS,1,Play: Visit a movie theater
4100.0,31.0,Transgender,Bachelor’s Degree,0,Learn: Visit a library
715.0,40.0,Male,Bachelor’s Degree,1,Play: Visit a movie theater
4355.0,83.0,Male,Bachelor’s Degree,1,Learn: Visit a library
1249.0,26.0,Non-binary,Bachelor’s Degree,1,Play: Visit a movie theater
292.0,19.0,Female,High School Grad,1,Play: Visit a movie theater
70.0,23.0,Non-binary,High School Grad,NA,Play: Visit a movie theater
288.0,19.0,Male,High School Grad,NA,Play: Go shopping
259.0,23.0,Male,Did Not Graduate HS,NA,Play: Visit a movie theater
177.0,20.0,Female,Did Not Graduate HS,1,Play: Go shopping
4683.0,40.0,Female,Bachelor’s Degree,1,Explore: Visit a park
291.0,22.0,Male,Did Not Graduate HS,1,Play: Visit a movie theater
29.0,21.0,Transgender,Did Not Graduate HS,0,Play: Go shopping
126.0,19.0,Other,Did Not Graduate HS,0,Play: Visit a movie theater
3335.0,34.0,Transgender,Bachelor’s Degree,0,Play: Visit a movie theater
185.0,18.0,Other,Other,NA,Play: Visit a movie theater
3403.0,27.0,NA,Bachelor’s Degree,NA,Explore: Go sightseeing
78.0,22.0,Other,High School Grad,NA,Play: Go shopping
156.0,20.0,NA,Did Not Graduate HS,1,Play: Visit a movie theater
247.0,23.0,Female,Did Not Graduate HS,1,Play: Go shopping
22.0,19.0,Transgender,Did Not Graduate HS,0,Play: Visit a movie theater
48.0,20.0,Female,High School Grad,1,Play: Go shopping
4955.0,37.0,Transgender,Master’s Degree,0,Stay in: Color
44.0,22.0,Other,Did Not Graduate HS,0,Play: Go shopping
244.0,22.0,Non-binary,Did Not Graduate HS,0,Play: Go shopping
2697.0,43.0,Non-binary,Bachelor’s Degree,0,Stay in: Watch calming TV
24.0,22.0,Female,Did Not Graduate HS,1,Play: Visit a movie theater
674.0,56.0,Non-binary,Bachelor’s Degree,NA,Explore: Visit a park
131.0,18.0,Transgender,NA,1,Play: Visit a movie theater
51.0,23.0,Female,Other,1,Play: Go shopping
113.0,22.0,Transgender,High School Grad,NA,Play: Go shopping
4860.0,35.0,Transgender,Bachelor’s Degree,0,Stay in: Color
281.0,19.0,Other,Did Not Graduate HS,NA,Play: Visit a movie theater
259.0,23.0,NA,High School Grad,NA,Play: Go shopping
160.0,19.0,Male,NA,1,Play: Visit a movie theater
166.0,20.0,NA,High School Grad,0,Play: Visit a movie theater
16.0,31.0,Male,Other,NA,Play: Visit a movie theater
33.0,23.0,Non-binary,NA,NA,Play: Go shopping
95.0,22.0,Transgender,Other,0,Play: Go shopping
268.0,20.0,Female,Other,1,Play: Go shopping
3176.0,46.0,Non-binary,Bachelor’s Degree,0,Play: Go shopping
3067.0,29.0,Transgender,Bachelor’s Degree,0,Play: Visit a movie theater
93.0,21.0,Female,High School Grad,1,Play: Go shopping
4843.0,27.0,Male,Master’s Degree,1,Play: Go shopping
252.0,22.0,Transgender,High School Grad,0,Play: Visit a movie theater
3075.0,35.0,Transgender,Bachelor’s Degree,0,Stay in: Watch calming TV
2940.0,77.0,Transgender,Master’s Degree,1,Stay in: Color
1029.0,42.0,Male,Bachelor’s Degree,1,Explore: Go sightseeing
259.0,18.0,Non-binary,Did Not Graduate HS,0,Play: Go shopping
236.0,23.0,Male,Other,0,Play: Go shopping
200.0,22.0,Transgender,Did Not Graduate HS,0,Play: Visit a movie theater
822.0,39.0,NA,Master’s Degree,1,Play: Go shopping
24.0,19.0,Other,NA,NA,Play: Visit a movie theater
15.0,20.0,Male,High School Grad,NA,Play: Visit a movie theater
3621.0,28.0,Non-binary,Bachelor’s Degree,0,Stay in: Play a game
171.0,19.0,Transgender,High School Grad,1,Play: Visit a movie theater
1093.0,40.0,Transgender,Master’s Degree,NA,Stay in: Color
105.0,18.0,Other,NA,1,Play: Go shopping
3129.0,81.0,Other,Bachelor’s Degree,NA,Stay in: Color
991.0,41.0,Female,Bachelor’s Degree,1,Play: Visit a movie theater
251.0,23.0,Transgender,Other,NA,Play: Go shopping
224.0,19.0,Other,High School Grad,NA,Play: Visit a movie theater
4197.0,25.0,Other,Master’s Degree,NA,Stay in: Watch calming TV
142.0,21.0,NA,Other,1,Play: Go shopping
403.0,43.0,Other,Master’s Degree,1,Stay in: Play a game
4520.0,36.0,Female,Bachelor’s Degree,1,Explore: Visit a park
143.0,19.0,Non-binary,Did Not Graduate HS,0,Play: Go shopping
14.0,19.0,Male,NA,NA,Play: Go shopping
233.0,19.0,Transgender,NA,1,Play: Visit a movie theater
3558.0,38.0,NA,Master’s Degree,0,Learn: Visit a library
887.0,43.0,Transgender,Bachelor’s Degree,NA,Play: Go shopping
803.0,39.0,Non-binary,Bachelor’s Degree,NA,Stay in: Play a game
15.0,22.0,NA,NA,NA,Play: Go shopping
18.0,22.0,NA,NA,1,Play: Go shopping
4511.0,31.0,Male,Master’s Degree,NA,Stay in: Color
216.0,18.0,Female,NA,1,Play: Go shopping
3807.0,35.0,Non-binary,Bachelor’s Degree,1,Learn: Visit a library
83.0,22.0,Male,High School Grad,1,Play: Visit a movie theater
246.0,21.0,Male,Did Not Graduate HS,0,Play: Go shopping
4297.0,60.0,NA,Master’s Degree,1,Stay in: Watch calming TV
1416.0,38.0,Transgender,Bachelor’s Degree,NA,Explore: Hike
255.0,23.0,Other,Other,NA,Play: Visit a movie theater
220.0,23.0,Non-binary,Other,1,Play: Visit a movie theater
73.0,21.0,Transgender,High School Grad,NA,Play: Go shopping
221.0,19.0,Male,High School Grad,0,Play: Go shopping
190.0,19.0,Other,NA,NA,Play: Visit a movie theater
192.0,18.0,Male,Did Not Graduate HS,1,Play: Visit a movie theater
1512.0,32.0,Other,Bachelor’s Degree,0,Stay in: Play a game
55.0,19.0,Male,Did Not Graduate HS,1,Play: Visit a movie theater
255.0,23.0,Other,Other,1,Play: Go shopping
1484.0,49.0,Transgender,Bachelor’s Degree,NA,Explore: Hike
93.0,40.0,Male,High School Grad,NA,Stay in: Color
3131.0,29.0,Female,Master’s Degree,1,Play: Go shopping
3442.0,37.0,Female,Master’s Degree,1,Learn: Visit a library
10.0,20.0,NA,High School Grad,NA,Play: Go shopping
1459.0,35.0,Transgender,Bachelor’s Degree,1,Stay in: Color
268.0,20.0,Female,Other,1,Play: Visit a movie theater
258.0,20.0,Transgender,Other,0,Play: Visit a movie theater
3537.0,36.0,NA,Master’s Degree,NA,Explore: Visit a park
4639.0,64.0,Male,Bachelor’s Degree,NA,Play: Visit a movie theater
182.0,18.0,Transgender,Did Not Graduate HS,0,Play: Visit a movie theater
186.0,23.0,Female,NA,1,Play: Go shopping
15.0,21.0,Male,High School Grad,1,Play: Visit a movie theater
4286.0,51.0,NA,Master’s Degree,NA,Play: Go shopping
3797.0,55.0,Non-binary,Bachelor’s Degree,0,Stay in: Color
77.0,23.0,Other,Did Not Graduate HS,1,Play: Visit a movie theater
2429.0,29.0,Male,Bachelor’s Degree,1,Stay in: Play a game
818.0,85.0,Other,Bachelor’s Degree,NA,Stay in: Play a game
110.0,22.0,Other,High School Grad,NA,Play: Visit a movie theater
100.0,18.0,Male,NA,0,Play: Go shopping
148.0,18.0,Female,Did Not Graduate HS,1,Play: Go shopping
2424.0,34.0,Transgender,Bachelor’s Degree,1,Stay in: Play a game
89.0,43.0,Non-binary,Other,0,Learn: Visit a library
100.0,19.0,Non-binary,High School Grad,1,Play: Go shopping
144.0,22.0,Other,Other,1,Play: Go shopping
334.0,62.0,NA,Bachelor’s Degree,1,Explore: Visit a park
175.0,20.0,Transgender,NA,NA,Play: Go shopping
105.0,21.0,Other,Other,1,Play: Go shopping
256.0,21.0,Male,Other,1,Play: Go shopping
3240.0,31.0,Female,Master’s Degree,1,Stay in: Color
2203.0,64.0,Male,Master’s Degree,1,Explore: Hike
4111.0,56.0,Transgender,Bachelor’s Degree,0,Explore: Hike
22.0,19.0,NA,Other,1,Play: Visit a movie theater
56.0,22.0,Male,NA,0,Play: Visit a movie theater
1765.0,84.0,Transgender,Bachelor’s Degree,0,Explore: Go sightseeing
886.0,40.0,Male,Bachelor’s Degree,0,Learn: Visit a library
2322.0,55.0,NA,Master’s Degree,1,Stay in: Play a game
101.0,20.0,Non-binary,Did Not Graduate HS,0,Play: Visit a movie theater
209.0,23.0,Female,Other,0,Play: Go shopping
255.0,21.0,Male,Did Not Graduate HS,0,Play: Visit a movie theater
3503.0,36.0,Male,Master’s Degree,1,Stay in: Play a game
87.0,20.0,Transgender,Other,1,Play: Go shopping
129.0,20.0,Other,NA,0,Play: Go shopping
556.0,70.0,Transgender,Master’s Degree,NA,Learn: Visit a library
287.0,26.0,NA,High School Grad,1,Stay in: Watch calming TV
4762.0,36.0,Transgender,Master’s Degree,NA,Play: Go shopping
280.0,21.0,Female,High School Grad,1,Play: Go shopping
2082.0,32.0,Male,Master’s Degree,1,Explore: Visit a park
4463.0,25.0,Female,Master’s Degree,1,Stay in: Watch calming TV
3227.0,37.0,Female,Master’s Degree,1,Learn: Visit a library
14.0,18.0,Female,Other,1,Play: Go shopping
276.0,20.0,Transgender,NA,1,Play: Go shopping
3328.0,29.0,Female,Master’s Degree,NA,Learn: Visit a library
182.0,22.0,Transgender,NA,1,Play: Go shopping
43.0,22.0,Other,High School Grad,0,Play: Go shopping
4271.0,36.0,Non-binary,Bachelor’s Degree,0,Stay in: Color
1689.0,26.0,Female,Bachelor’s Degree,1,Explore: Visit a park
4910.0,25.0,Non-binary,Bachelor’s Degree,1,Play: Go shopping
3419.0,25.0,Other,Bachelor’s Degree,1,Stay in: Color
11.0,18.0,Other,Did Not Graduate HS,0,Play: Visit a movie theater
132.0,18.0,Other,Did Not Graduate HS,1,Play: Visit a movie theater
715.0,42.0,Other,Bachelor’s Degree,NA,Explore: Visit a park
1448.0,59.0,Transgender,Bachelor’s Degree,0,Play: Visit a movie theater
148.0,21.0,Female,Other,1,Play: Visit a movie theater
245.0,20.0,NA,High School Grad,NA,Play: Visit a movie theater
698.0,61.0,Other,Bachelor’s Degree,0,Explore: Visit a park
23.0,91.0,Other,Did Not Graduate HS,0,Stay in: Color
62.0,20.0,Other,Other,1,Play: Visit a movie theater
1945.0,35.0,Other,Bachelor’s Degree,1,Play: Visit a movie theater
223.0,19.0,NA,NA,NA,Play: Visit a movie theater
2024.0,26.0,Non-binary,Bachelor’s Degree,1,Stay in: Watch calming TV
1030.0,41.0,NA,Bachelor’s Degree,1,Play: Go shopping
73.0,21.0,Other,Did Not Graduate HS,0,Play: Visit a movie theater
284.0,18.0,Non-binary,NA,NA,Play: Go shopping
4725.0,31.0,Non-binary,Bachelor’s Degree,1,Explore: Visit a park
107.0,19.0,Male,Did Not Graduate HS,NA,Play: Go shopping
24.0,23.0,Transgender,NA,1,Play: Visit a movie theater
3267.0,49.0,Other,Bachelor’s Degree,1,Explore: Visit a park
37.0,23.0,Transgender,Did Not Graduate HS,1,Play: Visit a movie theater
74.0,22.0,Male,Did Not Graduate HS,NA,Play: Go shopping
78.0,21.0,Female,Did Not Graduate HS,1,Play: Visit a movie theater
3589.0,38.0,Transgender,Master’s Degree,NA,Explore: Go sightseeing
18.0,21.0,Female,High School Grad,1,Play: Go shopping
93.0,19.0,Transgender,High School Grad,1,Play: Go shopping
167.0,20.0,Male,High School Grad,NA,Play: Go shopping
35.0,21.0,Other,NA,0,Play: Visit a movie theater
269.0,23.0,Other,High School Grad,NA,Play: Go shopping
53.0,20.0,Female,NA,NA,Play: Visit a movie theater
3731.0,74.0,Female,Bachelor’s Degree,1,Stay in: Color
240.0,23.0,Transgender,Did Not Graduate HS,0,Play: Visit a movie theater
3281.0,30.0,Non-binary,Bachelor’s Degree,1,Stay in: Watch calming TV
110.0,19.0,Transgender,Did Not Graduate HS,NA,Play: Go shopping
2532.0,27.0,Female,Bachelor’s Degree,1,Learn: Visit a library
481.0,79.0,Non-binary,Bachelor’s Degree,1,Stay in: Watch calming TV
2868.0,37.0,NA,Master’s Degree,NA,Stay in: Color
20.0,21.0,Transgender,High School Grad,1,Play: Go shopping
111.0,22.0,Non-binary,High School Grad,1,Play: Visit a movie theater
94.0,23.0,Male,Other,1,Play: Visit a movie theater
256.0,18.0,NA,Other,NA,Play: Visit a movie theater
851.0,55.0,Transgender,Bachelor’s Degree,0,Play: Go shopping
233.0,19.0,NA,High School Grad,0,Play: Go shopping
265.0,23.0,Male,Did Not Graduate HS,NA,Play: Go shopping
38.0,18.0,Male,NA,0,Play: Visit a movie theater
171.0,19.0,Other,NA,0,Play: Visit a movie theater
145.0,21.0,Transgender,NA,NA,Play: Go shopping
2052.0,26.0,Other,Bachelor’s Degree,1,Stay in: Play a game
252.0,83.0,Male,NA,NA,Stay in: Color
113.0,21.0,Male,Did Not Graduate HS,0,Play: Go shopping
4689.0,31.0,Other,Bachelor’s Degree,0,Explore: Visit a park
195.0,21.0,Transgender,NA,NA,Play: Go shopping
25.0,21.0,Transgender,NA,0,Play: Go shopping
283.0,21.0,NA,Other,1,Play: Go shopping
2.0,18.0,Other,NA,0,Play: Go shopping
4553.0,89.0,Transgender,Bachelor’s Degree,0,Learn: Visit a library
